Producto,Primero De Período,Volumen,Período,Provincia
GNC,2013/01,12223782,2013/01,MENDOZA
GNC,2013/02,11550650,2013/02,MENDOZA
GNC,2013/03,13804491,2013/03,MENDOZA
GNC,2013/04,12669006,2013/04,MENDOZA
GNC,2013/05,13767147,2013/05,MENDOZA
GNC,2013/06,13416408,2013/06,MENDOZA
GNC,2013/07,13796149,2013/07,MENDOZA
GNC,2013/08,14280880,2013/08,MENDOZA
GNC,2013/09,13638900,2013/09,MENDOZA
GNC,2013/10,13832075,2013/10,MENDOZA
GNC,2013/11,13604864,2013/11,MENDOZA
GNC,2013/12,13338135,2013/12,MENDOZA
GNC,2014/01,11721452,2014/01,MENDOZA
GNC,2014/02,11482376,2014/02,MENDOZA
GNC,2014/03,13214603,2014/03,MENDOZA
GNC,2014/04,13218834,2014/04,MENDOZA
GNC,2014/05,15466572,2014/05,MENDOZA
GNC,2014/06,13150376,2014/06,MENDOZA
GNC,2014/07,13795230,2014/07,MENDOZA
GNC,2014/08,14164156,2014/08,MENDOZA
GNC,2014/09,13901718,2014/09,MENDOZA
GNC,2014/10,14226858,2014/10,MENDOZA
GNC,2014/11,13583079,2014/11,MENDOZA
GNC,2014/12,14007829,2014/12,MENDOZA
GNC,2015/01,12791518,2015/01,MENDOZA
GNC,2015/02,12267236,2015/02,MENDOZA
GNC,2015/03,13655731,2015/03,MENDOZA
GNC,2015/04,13686931,2015/04,MENDOZA
GNC,2015/05,13792609,2015/05,MENDOZA
GNC,2015/06,14149052,2015/06,MENDOZA
GNC,2015/07,14014934,2015/07,MENDOZA
GNC,2015/08,14000619,2015/08,MENDOZA
GNC,2015/09,13461773,2015/09,MENDOZA
GNC,2015/10,13610410,2015/10,MENDOZA
GNC,2015/11,12873348,2015/11,MENDOZA
GNC,2015/12,13307878,2015/12,MENDOZA
GNC,2016/01,12139848,2016/01,MENDOZA
GNC,2016/02,12425089,2016/02,MENDOZA
GNC,2016/03,13215209,2016/03,MENDOZA
GNC,2016/04,12919821,2016/04,MENDOZA
GNC,2016/05,13121441,2016/05,MENDOZA
GNC,2016/06,12737481,2016/06,MENDOZA
GNC,2016/07,13345412,2016/07,MENDOZA
GNC,2016/08,12572036,2016/08,MENDOZA
GNC,2016/09,12465523,2016/09,MENDOZA
GNC,2016/10,12209235,2016/10,MENDOZA
GNC,2016/11,11863023,2016/11,MENDOZA
GNC,2016/12,12253018,2016/12,MENDOZA
GNC,2017/01,10819842,2017/01,MENDOZA
GNC,2017/02,10222744,2017/02,MENDOZA
GNC,2017/03,12145084,2017/03,MENDOZA
GNC,2017/04,11806634,2017/04,MENDOZA
GNC,2017/05,11833902,2017/05,MENDOZA
GNC,2017/06,11655435,2017/06,MENDOZA
GNC,2017/07,11787888,2017/07,MENDOZA
GNC,2017/08,11952949,2017/08,MENDOZA
GNC,2017/09,11470008,2017/09,MENDOZA
GNC,2017/10,11534755,2017/10,MENDOZA
GNC,2017/11,10891236,2017/11,MENDOZA
GNC,2017/12,11271365,2017/12,MENDOZA
GNC,2018/01,10002620,2018/01,MENDOZA
GNC,2018/02,9465781,2018/02,MENDOZA
GNC,2018/03,10998267,2018/03,MENDOZA
GNC,2018/04,10508403,2018/04,MENDOZA
GNC,2018/05,10896120,2018/05,MENDOZA
GNC,2018/06,10567805,2018/06,MENDOZA
GNC,2018/07,10828525,2018/07,MENDOZA
GNC,2018/08,11675470,2018/08,MENDOZA
GNC,2018/09,10430590,2018/09,MENDOZA
GNC,2018/10,10950999,2018/10,MENDOZA
GNC,2018/11,10622614,2018/11,MENDOZA
GNC,2018/12,10998246,2018/12,MENDOZA
GNC,2019/01,9948918,2019/01,MENDOZA
GNC,2019/02,9494287,2019/02,MENDOZA
GNC,2019/03,10966247,2019/03,MENDOZA
GNC,2019/04,10560542,2019/04,MENDOZA
GNC,2019/05,11131504,2019/05,MENDOZA
GNC,2019/06,10919740,2019/06,MENDOZA
GNC,2019/07,11291881,2019/07,MENDOZA
GNC,2019/08,11211303,2019/08,MENDOZA
GNC,2019/09,10717125,2019/09,MENDOZA
GNC,2019/10,11082044,2019/10,MENDOZA
GNC,2019/11,10630589,2019/11,MENDOZA
GNC,2019/12,10851161,2019/12,MENDOZA
GNC,2020/01,9996740,2020/01,MENDOZA
GNC,2020/02,9809500,2020/02,MENDOZA
GNC,2020/03,7593037,2020/03,MENDOZA
GNC,2020/04,4416016,2020/04,MENDOZA
GNC,2020/05,6308091,2020/05,MENDOZA
GNC,2020/06,7484150,2020/06,MENDOZA
GNC,2020/07,7983756,2020/07,MENDOZA
GNC,2020/08,7681783,2020/08,MENDOZA
GNC,2020/09,7170743,2020/09,MENDOZA
GNC,2020/10,7733030,2020/10,MENDOZA
GNC,2020/11,7900760,2020/11,MENDOZA
GNC,2020/12,9103430,2020/12,MENDOZA
GNC,2021/01,8356437,2021/01,MENDOZA
