Producto,Volumen,Período,Provincia
Nafta premium,6084,2013/01,MENDOZA
Nafta premium,5461,2013/02,MENDOZA
Nafta premium,6466,2013/03,MENDOZA
Nafta premium,5851,2013/04,MENDOZA
Nafta premium,5641,2013/05,MENDOZA
Nafta premium,5612,2013/06,MENDOZA
Nafta premium,6468,2013/07,MENDOZA
Nafta premium,6177,2013/08,MENDOZA
Nafta premium,6246,2013/09,MENDOZA
Nafta premium,6795,2013/10,MENDOZA
Nafta premium,6227,2013/11,MENDOZA
Nafta premium,7546,2013/12,MENDOZA
Nafta premium,6486,2014/01,MENDOZA
Nafta premium,5818,2014/02,MENDOZA
Nafta premium,6335,2014/03,MENDOZA
Nafta premium,5757,2014/04,MENDOZA
Nafta premium,5367,2014/05,MENDOZA
Nafta premium,5464,2014/06,MENDOZA
Nafta premium,6129,2014/07,MENDOZA
Nafta premium,7019,2014/08,MENDOZA
Nafta premium,11855,2014/09,MENDOZA
Nafta premium,6119,2014/10,MENDOZA
Nafta premium,6911,2014/11,MENDOZA
Nafta premium,8723,2014/12,MENDOZA
Nafta premium,8578,2015/01,MENDOZA
Nafta premium,7862,2015/02,MENDOZA
Nafta premium,7995,2015/03,MENDOZA
Nafta premium,7707,2015/04,MENDOZA
Nafta premium,7918,2015/05,MENDOZA
Nafta premium,8247,2015/06,MENDOZA
Nafta premium,9198,2015/07,MENDOZA
Nafta premium,8649,2015/08,MENDOZA
Nafta premium,8050,2015/09,MENDOZA
Nafta premium,8531,2015/10,MENDOZA
Nafta premium,8324,2015/11,MENDOZA
Nafta premium,10061,2015/12,MENDOZA
Nafta premium,10005,2016/01,MENDOZA
Nafta premium,8556,2016/02,MENDOZA
Nafta premium,8730,2016/03,MENDOZA
Nafta premium,7802,2016/04,MENDOZA
Nafta premium,6938,2016/05,MENDOZA
Nafta premium,7465,2016/06,MENDOZA
Nafta premium,5421,2016/07,MENDOZA
Nafta premium,8127,2016/08,MENDOZA
Nafta premium,8197,2016/09,MENDOZA
Nafta premium,8715,2016/10,MENDOZA
Nafta premium,8601,2016/11,MENDOZA
Nafta premium,9606,2016/12,MENDOZA
Nafta premium,9394,2017/01,MENDOZA
Nafta premium,8884,2017/02,MENDOZA
Nafta premium,9657,2017/03,MENDOZA
Nafta premium,11988,2017/04,MENDOZA
Nafta premium,9276,2017/05,MENDOZA
Nafta premium,9755,2017/06,MENDOZA
Nafta premium,10866,2017/07,MENDOZA
Nafta premium,10546,2017/08,MENDOZA
Nafta premium,10792,2017/09,MENDOZA
Nafta premium,11214,2017/10,MENDOZA
Nafta premium,10672,2017/11,MENDOZA
Nafta premium,11606,2017/12,MENDOZA
Nafta premium,10330,2018/01,MENDOZA
Nafta premium,9738,2018/02,MENDOZA
Nafta premium,11076,2018/03,MENDOZA
Nafta premium,10465,2018/04,MENDOZA
Nafta premium,10752,2018/05,MENDOZA
Nafta premium,9631,2018/06,MENDOZA
Nafta premium,10377,2018/07,MENDOZA
Nafta premium,9855,2018/08,MENDOZA
Nafta premium,8113,2018/09,MENDOZA
Nafta premium,7714,2018/10,MENDOZA
Nafta premium,7761,2018/11,MENDOZA
Nafta premium,8809,2018/12,MENDOZA
Nafta premium,8251,2019/01,MENDOZA
Nafta premium,7930,2019/02,MENDOZA
Nafta premium,8949,2019/03,MENDOZA
Nafta premium,7763,2019/04,MENDOZA
Nafta premium,7903,2019/05,MENDOZA
Nafta premium,7846,2019/06,MENDOZA
Nafta premium,9045,2019/07,MENDOZA
Nafta premium,8506,2019/08,MENDOZA
Nafta premium,8316,2019/09,MENDOZA
Nafta premium,9965,2019/10,MENDOZA
Nafta premium,8369,2019/11,MENDOZA
Nafta premium,8830,2019/12,MENDOZA
Nafta premium,8358,2020/01,MENDOZA
Nafta premium,8650,2020/02,MENDOZA
Nafta premium,6254,2020/03,MENDOZA
Nafta premium,2539,2020/04,MENDOZA
Nafta premium,4040,2020/05,MENDOZA
Nafta premium,5382,2020/06,MENDOZA
Nafta premium,5918,2020/07,MENDOZA
Nafta premium,5821,2020/08,MENDOZA
Nafta premium,5130,2020/09,MENDOZA
Nafta premium,5908,2020/10,MENDOZA
Nafta premium,6399,2020/11,MENDOZA
Nafta premium,8274,2020/12,MENDOZA
Nafta premium,7881,2021/01,MENDOZA
