Producto,Primero De Período,Volumen,Período,Provincia
Nafta (súper) entre 92 y 95 Ron,2013/01,17737,2013/01,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/02,17385,2013/02,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/03,20144,2013/03,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/04,17385,2013/04,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/05,18646,2013/05,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/06,18283,2013/06,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/07,19331,2013/07,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/08,19368,2013/08,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/09,18713,2013/09,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/10,19777,2013/10,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/11,19084,2013/11,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2013/12,22819,2013/12,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/01,19779,2014/01,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/02,17684,2014/02,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/03,19484,2014/03,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/04,18617,2014/04,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/05,17467,2014/05,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/06,17572,2014/06,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/07,17596,2014/07,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/08,19026,2014/08,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/09,17806,2014/09,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/10,18999,2014/10,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/11,17987,2014/11,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2014/12,19530,2014/12,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/01,18153,2015/01,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/02,17059,2015/02,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/03,19209,2015/03,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/04,17374,2015/04,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/05,16845,2015/05,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/06,17146,2015/06,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2015/07,18058,2015/07,MENDOZA
